@RELATION user-movie

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE splitLabel STRING


@DATA
42,96,5,881107178,Test
168,151,5,884288058,Train
110,307,4,886987260,Test
58,144,4,884304936,Train
90,648,4,891384754,Train
271,346,4,885844430,Test
62,21,3,879373460,Test
279,832,3,881375854,Train
237,514,4,879376641,Train
94,789,4,891720887,Test
128,485,3,879966895,Test
298,317,4,884182806,Test
44,195,5,878347874,Train
264,200,5,886122352,Train
194,385,2,879524643,Test
72,195,5,880037702,Validate
222,750,5,883815120,Train
250,264,3,878089182,Validate
41,265,3,890687042,Test
224,245,3,888082216,Test
82,135,3,878769629,Validate
262,1147,4,879791710,Test
293,471,3,888904884,Train
216,658,3,880245029,Train
250,140,3,878092059,Train
59,23,5,888205300,Train
286,379,5,877533771,Test
244,815,4,880605185,Validate
7,479,4,891352010,Train
174,368,1,886434402,Validate
87,274,4,879876734,Validate
194,1211,2,879551380,Test
82,1134,2,884714402,Train
13,836,2,882139746,Test
13,272,4,884538403,Test
244,756,2,880605157,Test
305,427,5,886323090,Train
95,787,2,888954930,Validate
43,14,2,883955745,Train
299,955,4,889502823,Validate
57,419,3,883698454,Test
84,405,3,883452363,Test
269,504,4,891449922,Test
299,111,3,877878184,Validate
194,466,4,879525876,Validate
160,135,4,876860807,Train
99,268,3,885678247,Validate
10,486,4,877886846,Train
259,117,4,874724988,Test
85,427,3,879456350,Validate
303,919,4,879467295,Test
213,273,5,878870987,Validate
121,514,3,891387947,Test
90,98,5,891383204,Test
49,559,2,888067405,Train
42,794,3,881108425,Test
155,323,2,879371261,Train
68,117,4,876973939,Validate
172,177,4,875537965,Train
19,4,4,885412840,Train
268,231,4,875744136,Train
5,2,3,875636053,Validate
305,117,2,886324028,Train
44,294,4,883612356,Test
43,137,4,875975656,Train
279,1336,1,875298353,Test
80,466,5,887401701,Test
254,164,4,886472768,Train
298,281,3,884183336,Validate
279,1240,1,892174404,Train
66,298,4,883601324,Validate
18,443,3,880130193,Test
268,1035,2,875542174,Train
99,79,4,885680138,Train
13,98,4,881515011,Test
26,258,3,891347949,Validate
7,455,4,891353086,Train
222,755,4,878183481,Validate
200,673,5,884128554,Test
119,328,4,876923913,Test
213,172,5,878955442,Test
276,322,3,874786392,Test
94,1217,3,891723086,Validate
130,379,4,875801662,Test
38,328,4,892428688,Test
160,719,3,876857977,Train
293,1267,3,888906966,Train
26,930,2,891385985,Train
130,216,4,875216545,Test
92,1079,3,886443455,Test
256,452,4,882164999,Test
1,61,4,878542420,Test
72,48,4,880036718,Validate
56,755,3,892910207,Train
13,360,4,882140926,Validate
15,405,2,879455957,Validate
92,77,3,875654637,Test
207,476,2,884386343,Train
292,174,5,881105481,Train
232,483,5,888549622,Validate
251,748,2,886272175,Validate
224,26,3,888104153,Train
181,220,4,878962392,Test
259,255,4,874724710,Validate
305,471,4,886323648,Test
52,280,3,882922806,Train
161,202,5,891170769,Train
148,408,5,877399018,Validate
125,235,2,892838559,Train
97,228,5,884238860,Validate
58,1098,4,884304936,Validate
83,234,4,887665548,Validate
90,347,4,891383319,Validate
272,178,5,879455113,Train
194,181,3,879521396,Train
125,478,4,879454628,Train
110,688,1,886987605,Test
299,14,4,877877775,Validate
151,10,5,879524921,Test
269,127,4,891446165,Train
6,14,5,883599249,Validate
54,106,3,880937882,Validate
303,69,5,879467542,Train
16,944,1,877727122,Validate
301,790,4,882078621,Validate
276,1091,3,874793035,Test
305,214,2,886323068,Train
194,1028,2,879541148,Test
91,323,2,891438397,Test
87,554,4,879875940,Validate
294,109,4,877819599,Test
286,171,4,877531791,Test
200,318,5,884128458,Validate
229,328,1,891632142,Train
178,568,4,882826555,Train
303,842,2,879484804,Validate
62,65,4,879374686,Test
207,591,3,876018608,Test
92,172,4,875653271,Test
301,401,4,882078040,Validate
36,339,5,882157581,Test
70,746,3,884150257,Validate
63,242,3,875747190,Train
28,201,3,881961671,Train
279,68,4,875307407,Train
250,7,4,878089716,Train
14,98,3,890881335,Train
299,1018,3,889502324,Train
194,54,3,879525876,Test
303,815,3,879485532,Train
119,237,5,874775038,Validate
295,218,5,879966498,Train
268,930,2,875742942,Train
268,2,2,875744173,Train
66,258,4,883601089,Test
233,202,5,879394264,Train
83,623,4,880308578,Train
214,334,3,891542540,Train
192,476,2,881368243,Train
100,344,4,891374868,Train
268,145,1,875744501,Test
301,56,4,882076587,Validate
307,89,5,879283786,Test
234,141,3,892334609,Test
83,576,4,880308755,Test
181,264,2,878961624,Validate
297,133,4,875240090,Train
38,153,5,892430369,Train
7,382,4,891352093,Train
264,813,4,886122952,Test
181,872,1,878961814,Train
201,146,1,884140579,Test
85,507,4,879456199,Test
269,367,3,891450023,Validate
59,468,3,888205855,Train
286,143,4,889651549,Train
193,96,1,889124507,Validate
113,595,5,875936424,Train
292,11,5,881104093,Train
130,1014,3,876250718,Train
275,98,4,875155140,Validate
189,520,5,893265380,Train
219,82,1,889452455,Test
218,209,5,877488546,Validate
123,427,3,879873020,Train
119,222,5,874775311,Validate
158,177,4,880134407,Test
222,118,4,877563802,Validate
302,322,2,879436875,Validate
279,501,3,875308843,Train
301,79,5,882076403,Validate
181,3,2,878963441,Test
201,695,1,884140115,Test
13,198,3,881515193,Validate
1,189,3,888732928,Test
145,237,5,875270570,Validate
23,385,4,874786462,Validate
201,767,4,884114505,Validate
296,705,5,884197193,Validate
42,546,3,881105817,Validate
33,872,3,891964230,Train
301,554,3,882078830,Test
16,64,5,877720297,Test
95,135,3,879197562,Train
154,357,4,879138713,Test
77,484,5,884733766,Validate
296,508,5,884196584,Validate
302,303,2,879436785,Test
244,673,3,880606667,Test
222,77,4,878183616,Test
13,215,5,882140588,Test
16,705,5,877722736,Test
270,452,4,876956264,Train
145,15,2,875270655,Train
187,64,5,879465631,Validate
200,304,5,876041644,Validate
170,749,5,887646170,Validate
101,829,3,877136138,Validate
184,218,3,889909840,Validate
128,204,4,879967478,Validate
181,1295,1,878961781,Test
184,153,3,889911285,Test
1,33,4,878542699,Test
1,160,4,875072547,Train
184,321,5,889906967,Validate
54,595,3,880937813,Validate
94,343,4,891725009,Train
128,508,4,879967767,Train
23,323,2,874784266,Validate
301,227,3,882077222,Validate
301,191,3,882075672,Validate
112,903,1,892440172,Test
82,183,3,878769848,Validate
222,724,3,878181976,Validate
218,430,3,877488316,Test
308,1197,4,887739521,Test
303,134,5,879467959,Train
133,751,3,890588547,Test
215,212,2,891435680,Validate
69,256,5,882126156,Validate
254,662,4,887347350,Train
276,2,4,874792436,Train
104,984,1,888442575,Validate
63,1067,3,875747514,Validate
267,410,4,878970785,Train
13,56,5,881515011,Validate
240,879,3,885775745,Validate
286,237,2,875806800,Test
294,271,5,889241426,Train
90,1086,4,891384424,Train
18,26,4,880129731,Train
92,229,3,875656201,Train
308,649,4,887739292,Test
144,89,3,888105691,Train
191,302,4,891560253,Test
59,951,3,888206409,Validate
200,96,5,884129409,Test
16,197,5,877726146,Test
61,678,3,892302309,Validate
271,199,4,885848448,Train
271,709,3,885849325,Train
142,169,5,888640356,Validate
275,597,3,876197678,Train
222,151,3,878182109,Train
87,40,3,879876917,Train
207,258,4,877879172,Test
272,1393,2,879454663,Validate
177,333,4,880130397,Validate
207,1115,2,879664906,Train
299,577,3,889503806,Test
271,378,4,885849447,Validate
305,425,4,886324486,Validate
49,959,2,888068912,Test
94,1224,3,891722802,Train
130,1017,3,874953895,Validate
10,175,3,877888677,Test
203,321,3,880433418,Train
191,286,4,891560842,Train
43,323,3,875975110,Test
21,558,5,874951695,Train
197,96,5,891409839,Train
13,344,2,888073635,Validate
194,66,3,879527264,Test
234,206,4,892334543,Train
308,402,4,887740700,Validate
308,640,4,887737036,Validate
269,522,5,891447773,Train
94,265,4,891721889,Validate
268,62,3,875310824,Test
272,12,5,879455254,Validate
121,291,3,891390477,Test
296,20,5,884196921,Train
134,286,3,891732334,Train
180,462,5,877544218,Train
234,612,3,892079140,Validate
104,117,2,888465972,Test
38,758,1,892434626,Test
269,845,1,891456255,Validate
7,163,4,891353444,Train
234,1451,3,892078343,Validate
275,405,2,876197645,Train
52,250,3,882922661,Test
102,823,3,888801465,Validate
13,186,4,890704999,Validate
178,731,4,882827532,Test
236,71,3,890116671,Validate
256,781,5,882165296,Train
263,176,5,891299752,Test
244,186,3,880605697,Validate
279,1181,4,875314001,Test
43,815,4,883956189,Train
83,78,2,880309089,Test
151,197,5,879528710,Train
254,436,2,886474216,Validate
109,631,3,880579371,Train
297,716,3,875239422,Validate
249,188,4,879641067,Validate
144,699,4,888106106,Test
301,604,4,882075994,Validate
64,392,3,889737542,Test
92,501,2,875653665,Validate
222,97,4,878181739,Test
268,436,3,875310745,Test
293,135,5,888905550,Test
213,173,5,878955442,Test
160,460,2,876861185,Train
13,498,4,882139901,Validate
59,715,5,888205921,Validate
5,17,4,875636198,Validate
125,163,5,879454956,Test
174,315,5,886432749,Train
114,505,3,881260203,Test
213,515,4,878870518,Train
23,196,2,874786926,Train
128,15,4,879968827,Train
239,56,4,889179478,Train
181,279,1,878962955,Train
291,80,4,875086354,Validate
250,238,4,878089963,Validate
201,649,3,884114275,Test
60,60,5,883327734,Train
181,325,2,878961814,Validate
119,407,3,887038665,Test
287,1,5,875334088,Test
216,228,3,880245642,Train
216,531,4,880233810,Train
203,471,4,880434463,Train
92,587,3,875660408,Test
13,892,3,882774224,Train
213,176,4,878956338,Test
286,288,5,875806672,Train
117,1047,2,881009697,Test
99,111,1,885678886,Test
11,558,3,891904214,Validate
65,47,2,879216672,Test
295,194,4,879517412,Train
269,217,2,891451610,Train
85,259,2,881705026,Test
250,596,5,878089921,Validate
137,144,5,881433689,Validate
201,960,2,884112077,Train
257,137,4,882049932,Validate
111,328,4,891679939,Train
91,480,4,891438875,Test
215,211,4,891436202,Test
181,938,1,878961586,Validate
189,1060,5,893264301,Validate
1,20,4,887431883,Train
303,404,4,879468375,Validate
299,305,3,879737314,Test
187,210,4,879465242,Validate
222,278,2,877563913,Test
214,568,4,892668197,Train
293,770,3,888906655,Validate
285,191,4,890595859,Validate
303,252,3,879544791,Train
96,156,4,884402860,Test
72,1110,3,880037334,Train
115,1067,4,881171009,Validate
7,430,3,891352178,Test
116,350,3,886977926,Train
73,480,4,888625753,Validate
269,246,5,891457067,Validate
263,419,5,891299514,Validate
70,431,3,884150257,Validate
221,475,4,875244204,Train
72,182,5,880036515,Test
25,357,4,885852757,Validate
290,50,5,880473582,Train
189,526,4,893266205,Test
299,303,3,877618584,Train
264,294,3,886121516,Train
200,365,5,884129962,Train
187,135,4,879465653,Train
184,187,4,889909024,Test
63,289,2,875746985,Test
13,229,4,882397650,Train
298,486,3,884183063,Train
235,185,4,889655435,Test
62,712,4,879376178,Test
246,94,2,884923505,Validate
54,742,5,880934806,Test
63,762,3,875747688,Train
11,732,3,891904596,Train
92,168,4,875653723,Train
8,550,3,879362356,Validate
307,174,4,879283480,Validate
303,200,4,879468459,Train
256,849,2,882164603,Test
72,54,3,880036854,Test
164,406,2,889402389,Validate
117,150,4,880125101,Train
224,77,4,888103872,Train
193,869,3,889127811,Validate
94,184,2,891720862,Train
281,338,2,881200457,Validate
130,109,3,874953794,Test
128,371,1,879966954,Validate
94,720,1,891723593,Validate
182,845,3,885613067,Test
129,873,1,883245452,Validate
254,229,4,886474580,Train
64,381,4,879365491,Test
151,176,2,879524293,Test
45,25,4,881014015,Test
193,879,3,889123257,Validate
276,922,4,889174849,Validate
276,57,3,874787526,Train
234,187,4,892079140,Test
181,306,1,878962006,Test
21,370,1,874951293,Test
293,249,3,888905229,Test
264,721,5,886123656,Train
10,611,5,877886722,Test
197,346,3,891409070,Train
276,142,3,874792945,Train
308,427,4,887736584,Validate
221,943,4,875246759,Validate
131,126,4,883681514,Validate
268,824,2,876518557,Test
109,8,3,880572642,Test
198,58,3,884208173,Validate
230,680,4,880484286,Test
181,741,1,878962918,Train
192,1061,4,881368891,Train
234,448,3,892335501,Test
90,900,4,891382309,Test
193,941,4,889124890,Validate
128,603,5,879966839,Test
126,905,2,887855283,Validate
244,265,4,880606634,Test
90,289,3,891382310,Validate
157,25,3,886890787,Validate
305,71,3,886323684,Train
119,382,5,874781742,Train
21,222,2,874951382,Validate
231,181,4,888605273,Train
280,508,3,891700453,Validate
288,132,3,886374129,Train
279,1497,2,890780576,Test
301,33,4,882078228,Test
72,699,3,880036783,Validate
90,259,2,891382392,Validate
308,55,3,887738760,Train
59,742,3,888203053,Train
94,744,4,891721462,Test
130,642,4,875216933,Test
26,1015,3,891352136,Validate
56,121,5,892679480,Train
82,508,2,884714249,Test
62,12,4,879373613,Train
276,40,3,874791871,Validate
181,1015,1,878963121,Train
152,301,3,880147407,Test
178,845,4,882824291,Train
217,597,4,889070087,Train
79,303,4,891271203,Train
138,484,4,879024127,Validate
308,81,5,887737293,Validate
75,284,2,884050393,Train
269,198,4,891447062,Validate
307,94,3,877122695,Train
222,781,3,881059677,Train
121,740,3,891390544,Validate
269,22,1,891448072,Test
13,864,4,882141924,Train
230,742,5,880485043,Train
269,507,4,891448800,Train
239,1099,5,889179253,Test
245,1028,5,888513447,Test
56,546,3,892679460,Train
295,961,5,879519556,Test
271,1028,2,885848102,Train
222,812,2,881059117,Validate
69,240,3,882126156,Test
10,7,4,877892210,Validate
22,376,3,878887112,Train
294,931,3,889242857,Validate
82,717,1,884714492,Train
279,399,4,875313859,Train
269,234,1,891449406,Test
6,98,5,883600680,Validate
243,1039,4,879988184,Train
298,181,4,884125629,Train
282,325,1,881703044,Train
78,323,1,879633567,Train
118,200,5,875384647,Validate
283,1114,5,879297545,Validate
171,292,4,891034835,Train
70,217,4,884151119,Test
10,100,5,877891747,Train
245,181,4,888513664,Validate
107,333,3,891264267,Test
246,561,1,884923445,Train
13,901,1,883670672,Validate
276,70,4,874790826,Test
244,17,2,880607205,Train
189,56,5,893265263,Train
226,242,5,883888671,Validate
62,1016,4,879373008,Test
276,417,4,874792907,Validate
214,478,4,891544052,Test
306,235,4,876504354,Validate
222,26,3,878183043,Validate
280,631,5,891700751,Test
60,430,5,883326122,Validate
56,71,4,892683275,Validate
42,274,5,881105817,Test
1,202,5,875072442,Test
13,809,4,882397582,Test
173,289,4,877556988,Train
15,749,1,879455311,Test
185,23,4,883524249,Validate
280,540,3,891702304,Train
244,381,4,880604077,Train
150,293,4,878746946,Train
7,497,4,891352134,Test
178,317,4,882826915,Train
178,742,3,882823833,Train
95,1217,3,880572658,Validate
234,1462,3,892333865,Test
97,222,5,884238887,Validate
109,127,2,880563471,Train
117,268,5,880124306,Test
269,705,2,891448850,Test
130,1246,3,876252497,Validate
264,655,4,886123530,Test
207,13,3,875506839,Train
42,588,5,881108147,Train
246,409,2,884923372,Test
87,367,4,879876702,Train
101,304,3,877135677,Test
256,127,4,882164406,Train
92,794,3,875654798,Train
181,762,2,878963418,Test
213,235,1,878955115,Train
92,739,2,876175582,Test
292,661,5,881105561,Test
246,665,4,884922831,Train
274,845,5,878945579,Test
188,692,5,875072583,Test
18,86,4,880129731,Validate
5,439,1,878844423,Test
236,632,3,890116254,Validate
193,407,4,889127921,Test
144,709,4,888105940,Validate
90,1198,5,891383866,Train
48,609,4,879434819,Validate
5,225,2,875635723,Test
22,128,5,878887983,Train
311,432,4,884365485,Test
8,22,5,879362183,Train
276,188,4,874792547,Test
222,173,5,878183043,Test
72,866,4,880035887,Train
299,134,4,878192311,Test
1,171,5,889751711,Test
308,295,3,887741461,Test
165,216,4,879525778,Test
222,49,3,878183512,Train
181,121,4,878962623,Validate
200,11,5,884129542,Train
234,626,4,892336358,Validate
244,707,4,880606243,Train
90,25,5,891384789,Validate
208,216,5,883108324,Train
263,96,4,891298336,Validate
134,323,4,891732335,Train
279,586,4,892864663,Validate
2,292,4,888550774,Train
288,593,2,886892127,Validate
49,302,4,888065432,Train
286,153,5,877531406,Test
205,304,3,888284313,Validate
22,80,4,878887227,Test
234,318,4,892078890,Train
223,328,3,891548959,Test
15,25,3,879456204,Test
268,147,4,876514002,Train
94,1220,3,891722678,Train
274,405,4,878945840,Validate
7,492,5,891352010,Train
268,217,2,875744501,Train
16,55,5,877717956,Test
164,620,3,889402298,Test
290,161,4,880474293,Train
92,515,4,875640800,Test
239,1070,5,889179032,Validate
56,449,5,892679308,Train
248,234,4,884534968,Test
234,10,3,891227851,Train
280,1049,2,891702486,Test
308,187,5,887738760,Train
276,64,5,874787441,Test
192,948,3,881368302,Train
122,509,4,879270511,Validate
85,588,3,880838306,Train
262,931,2,879790874,Test
201,272,3,886013700,Test
181,870,2,878962623,Test
295,739,4,879518319,Train
263,568,4,891299387,Train
295,39,4,879518279,Test
201,1100,4,884112800,Validate
93,820,3,888705966,Test
159,1028,5,880557539,Test
158,665,2,880134532,Train
293,423,3,888906070,Validate
82,597,3,878768882,Train
276,181,5,874786488,Train
13,823,5,882397833,Train
217,2,3,889069782,Train
83,660,4,880308256,Test
189,20,5,893264466,Validate
222,796,4,878183684,Test
146,1022,5,891458193,Train
267,121,3,878970681,Train
126,294,3,887855087,Test
181,1060,1,878962675,Train
125,80,4,892838865,Validate
43,120,4,884029430,Train
13,780,1,882142057,Train
253,259,2,891628883,Train
42,44,3,881108548,Test
77,518,4,884753202,Train
291,686,5,874835165,Validate
268,21,3,875742822,Train
262,28,3,879792220,Test
234,81,3,892334680,Train
29,245,3,882820803,Train
236,57,5,890116575,Train
158,729,3,880133116,Train
156,661,4,888185947,Test
232,52,5,888550130,Train
168,866,5,884287927,Train
37,288,4,880915258,Train
141,245,3,884584426,Train
235,230,4,889655162,Validate
102,70,3,888803537,Test
77,172,3,884752562,Train
90,506,5,891383319,Train
186,566,5,879023663,Validate
44,660,5,878347915,Train
118,774,5,875385198,Train
7,661,5,891351624,Validate
49,1003,2,888068651,Test
62,68,1,879374969,Train
42,1028,4,881106072,Validate
178,433,4,882827834,Train
85,51,2,879454782,Test
77,474,5,884732407,Validate
58,1099,2,892243079,Train
56,1047,4,892911290,Test
197,688,1,891409564,Validate
286,99,4,878141681,Validate
90,258,3,891382121,Test
181,1288,1,878962349,Train
295,190,4,879517062,Train
224,69,4,888082495,Validate
272,317,4,879454977,Validate
221,1010,3,875246662,Validate
66,877,1,883601089,Train
207,318,5,877124871,Train
234,487,3,892079237,Train
7,648,5,891351653,Test
87,82,5,879875774,Test
195,1052,1,877835102,Train
44,449,5,883613334,Validate
306,287,4,876504442,Validate
194,172,3,879521474,Validate
94,62,3,891722933,Train
167,659,4,892738277,Validate
108,100,4,879879720,Test
230,304,5,880484286,Test
181,927,1,878962675,Train
54,302,4,880928519,Test
90,22,4,891384357,Test
181,696,2,878962997,Test
286,357,4,877531537,Train
14,269,4,892242403,Train
311,179,2,884365357,Train
92,121,5,875640679,Validate
21,440,1,874951798,Test
244,550,1,880602264,Train
181,405,4,878962919,Test
65,806,4,879216529,Test
37,540,2,880916070,Validate
44,443,5,878348289,Validate
244,183,4,880606043,Test
1,265,4,878542441,Train
270,25,5,876954456,Train
299,387,2,889502756,Train
94,572,3,891723883,Train
286,746,4,877533058,Validate
239,272,5,889181247,Validate
216,55,5,880245145,Test
254,121,3,886472369,Train
62,665,2,879376483,Train
178,385,4,882826982,Train
194,23,4,879522819,Test
268,955,3,875745160,Test
188,143,5,875072674,Test
276,294,4,874786366,Train
158,1098,4,880135069,Validate
207,845,3,881681663,Test
161,48,1,891170745,Train
305,654,4,886323937,Validate
47,324,3,879439078,Test
64,736,4,889739212,Train
191,751,3,891560753,Test
7,378,5,891353011,Train
59,92,5,888204997,Train
69,268,5,882027109,Test
10,461,3,877888944,Validate
21,129,4,874951382,Validate
58,9,4,884304328,Test
194,152,3,879549996,Train
7,200,5,891353543,Test
113,126,5,875076827,Train
173,328,5,877557028,Train
95,233,4,879196354,Validate
16,194,5,877720733,Test
59,323,4,888206809,Validate
311,654,3,884365075,Train
292,589,4,881105516,Train
43,203,4,883955224,Test
79,50,4,891271545,Train
235,70,5,889655619,Train
125,190,5,892836309,Train
284,322,3,885329671,Train
303,161,5,879468547,Validate
254,378,3,886474396,Test
255,1034,1,883217030,Test
104,301,2,888442275,Validate
90,923,5,891383912,Validate
6,463,4,883601713,Train
279,122,1,875297433,Validate
286,298,4,875807004,Validate
222,448,3,878183565,Validate
297,57,5,875239383,Validate
42,625,3,881108873,Train
130,1217,4,875801778,Validate
254,357,3,886472466,Train
109,475,1,880563641,Train
230,1444,2,880485726,Train
244,310,3,880601905,Train
6,301,2,883600406,Train
36,748,4,882157285,Validate
256,443,3,882164727,Train
102,515,1,888801316,Test
104,285,4,888465201,Test
21,447,5,874951695,Train
111,301,4,891680028,Test
18,408,5,880129628,Train
25,222,4,885852817,Validate
110,944,3,886989501,Test
270,98,5,876955868,Train
68,237,5,876974133,Test
83,215,4,880307940,Train
6,258,2,883268278,Test
89,216,5,879459859,Test
128,317,4,879968029,Train
305,512,4,886323525,Test
184,412,2,889912691,Test
286,175,5,877532470,Train
279,1428,3,888465209,Validate
256,86,5,882165103,Train
221,48,5,875245462,Validate
140,332,3,879013617,Train
190,977,2,891042938,Train
11,227,3,891905896,Validate
201,203,5,884114471,Test
150,181,5,878746685,Validate
126,245,3,887854726,Test
20,208,2,879669401,Test
144,742,4,888104122,Test
181,930,1,878963275,Validate
109,566,4,880578814,Validate
85,1065,3,879455021,Train
213,133,3,878955973,Train
222,379,1,878184290,Validate
223,11,3,891550649,Test
215,421,4,891435704,Train
218,208,3,877488366,Validate
174,937,5,886432989,Validate
275,186,3,880314383,Train
68,742,1,876974198,Test
268,583,4,876513830,Test
160,462,4,876858346,Train
195,273,4,878019342,Validate
224,178,4,888082468,Train
5,110,1,875636493,Validate
99,1016,5,885678724,Train
2,251,5,888552084,Validate
292,9,4,881104148,Test
72,568,4,880037203,Test
85,228,3,882813248,Test
83,281,5,880307072,Validate
92,831,2,886443708,Test
7,543,3,891351772,Test
87,401,2,879876813,Test
287,926,4,875334340,Test
1,155,2,878542201,Validate
234,632,2,892079538,Test
222,53,5,878184113,Train
24,64,5,875322758,Test
7,554,3,891354639,Test
82,56,3,878769410,Train
161,318,3,891170824,Train
196,393,4,881251863,Validate
56,91,4,892683275,Train
82,477,3,876311344,Test
7,472,2,891353357,Test
256,761,4,882164644,Train
226,56,4,883889102,Train
279,741,5,875296891,Train
308,1286,3,887738151,Train
16,8,5,877722736,Train
180,202,3,877128388,Validate
203,93,4,880434940,Test
145,56,5,875271896,Validate
288,305,4,886372527,Validate
84,742,3,883450643,Train
44,644,3,878347818,Validate
17,13,3,885272654,Train
313,117,4,891015319,Test
148,1,4,877019411,Test
197,347,4,891409070,Test
21,164,5,874951695,Test
279,982,3,875298314,Train
239,491,5,889181015,Test
185,287,5,883526288,Train
297,89,4,875239125,Validate
303,68,4,879467361,Validate
186,250,1,879023607,Train
73,206,3,888625754,Validate
104,756,2,888465739,Train
94,216,3,885870665,Validate
239,194,5,889178833,Train
197,511,5,891409839,Validate
280,1,4,891700426,Validate
1,117,3,874965739,Test
224,583,1,888103729,Validate
303,397,1,879543831,Validate
60,162,4,883327734,Train
198,258,4,884204501,Train
239,513,5,889178887,Test
6,69,3,883601277,Test
233,375,4,876374419,Validate
85,642,4,882995615,Test
110,38,3,886988574,Test
184,522,3,889908462,Validate
99,873,1,885678436,Test
13,418,2,882398763,Train
201,518,4,884112201,Train
13,858,1,882397068,Train
214,131,3,891544465,Test
296,228,4,884197264,Test
222,87,3,878182589,Test
279,725,4,875314144,Validate
217,182,2,889070109,Train
85,433,3,879828720,Train
239,234,3,889178762,Train
13,72,4,882141727,Train
194,77,3,879527421,Test
208,663,5,883108476,Test
109,178,3,880572950,Train
230,172,4,880484523,Validate
59,485,2,888204466,Train
313,478,3,891014373,Validate
70,1133,3,884151344,Test
62,182,5,879375169,Test
198,234,3,884207833,Train
65,125,4,879217509,Test
174,660,5,886514261,Validate
90,12,5,891383241,Test
130,1248,3,880396702,Test
100,354,2,891375260,Test
283,432,5,879297965,Validate
275,418,3,875154718,Test
311,98,5,884364502,Test
195,751,4,883295500,Test
130,105,4,876251160,Train
269,252,1,891456350,Train
286,73,5,877532965,Train
7,623,3,891354217,Train
56,222,5,892679439,Validate
210,204,5,887730676,Validate
239,9,5,889180446,Train
96,87,4,884403531,Test
297,73,2,875239691,Test
249,239,3,879572284,Validate
94,860,2,891723706,Validate
84,121,4,883452307,Validate
275,265,4,880314031,Train
135,1046,3,879858003,Train
291,1178,4,875086354,Validate
125,382,1,892836623,Validate
70,399,4,884068521,Validate
